,,
226,8,MORELETAPARK extension 1 10 15 16 17 19 2 20 28 29 3 32 34 36 37 4 46 48 5 50 52 7 76 85
227,7,MORELETAPARK extension 21 23 24 27 28 30 36 41 42 43 44 47 49 51 57 60 62 63 64 65 66 67 68 69 70 72 73 75 77 78 80 81 83 9
228,5,MORETELE VIEW
229,16,MOUNTAIN VIEW
230,10,MOUNTAIN VIEW extension 1
231,16,MOUNTAIN VIEW extension 1
232,6,MUCKLENEUK
233,13,MURRAYFIELD
234,13,MURRAYFIELD extension 1 2
235,13,NAVORS
236,15,NELLMAPIUS extension 0 10 11 12 13 14 15 16 17 18 19 20 21 3 4 6 7 8 9
237,13,NELLMAPIUS extension 4
238,3,NEWLANDS
239,3,NEWLANDS extension 1 2 3 8 9
240,2,NEWMARK ESTATE
241,6,NIEUW MUCKLENEUK
242,10,NINAPARK
243,10,NINAPARK extension 1 14 15 2 21 22 23 25 26 27 29 3 31 32 33 34 35 36 5 6 8
244,12,OLIEVENHOUTBOS extension 13 15 19 20 21 22 23 24 25 26 30 31 32 33 34 36 37 4
245,7,OLYMPUS BOULEVARD
246,7,OLYMPUS RIDGE
247,16,ONDERSTEPOORT extension 7 9
248,16,ONDERSTEPOORT extension 9
249,5,OVIPROPARK
250,2,PARADISO
251,2,PARAMOUNT ESTATE
252,16,PARK TOWN ESTATE
253,14,PEACH TREE extension 1 2 3
254,10,PECANWOOD
255,10,PECANWOOD extension 10 11 12 13 14 15 16 18 2 3 4 5 6 7 8 9
256,6,PERSEQUOR
257,6,PERSEQUOR extension 10 5 7
258,6,PHILIP NEL PARK
259,11,PIERRE VAN RYNEVELD
260,11,PIERRE VAN RYNEVELD extension 11 13 14 15 18 2 20 21 22 23 24 25 26 28 29 30 33 4 5 7
261,10,PORT D' AFRIQUE
262,7,PRAIRIE GIANTS extension 3
263,14,PRETORIA extension 10 9
264,14,PRETORIA INDUSTRIAL
265,11,PRETORIA NORTH
266,16,PRETORIA NORTH extension 1
267,11,PRETORIA NORTH extension 1 4
268,10,PRETORIA NORTH extension 3
269,7,PRETORIUSPARK
270,7,PRETORIUSPARK extension 1 10 12 13 14 15 16 17 18 19 21 22 23 25 26 27 28 29 3 30 31 32 34 35 5 6 8
271,15,PYRAMID
272,8,QUEENSWOOD
273,8,QUEENSWOOD extension 1 10 11 2 3 4 5 9
274,11,QUEENSWOOD extension 4
275,14,RASLOUW
276,14,RASLOUW extension 1 11 12 22 23 5 7
277,5,RIAMARPARK
278,5,RIAMARPARK extension 4
279,11,RIETFONTEIN
280,11,RIETVALLEIPARK
281,8,RIETVALLEIPARK
282,8,RIETVALLEIRAND extension 14 15 18 19 2 20 21 30 31 32 33 34 35 37 38 39 4 40 43 45 46 47 48 49 5 50 51 52 53 55 57 58 59 6 62 63 64 69 7 8
283,11,RIETVLEI
284,11,RIETVLEI HEIGHTS
285,10,RIVER VIEW ESTATE extension 2
286,13,ROOIHUISKRAAL
287,13,ROOIHUISKRAAL extension 1 10 17 18 19 20 25 26 28 3 30 31 32 33 37 41 43 44 45 46 6 7 9
288,12,ROOIHUISKRAAL extension 39
289,13,ROOIHUISKRAAL NOORD
290,13,ROOIHUISKRAAL NOORD extension 1 14 15 16 17 18 19 21 22 23 24 25 26 27 28 32 36 40 41 42
291,15,ROSEVILLE
292,16,ROSEVILLE extension 1 3
293,3,ROSSLYN extension 2 32 33 38
294,12,RUA VISTA extension 12 15 16 9
295,10,RUBENA
296,10,RUBENA extension 1
297,15,SABLE HILLS WATERFRONT ESTATE
298,13,SALIESHOEK
299,8,SALVOKOP extension 1
300,14,SALVOKOP extension 1 2
301,14,SALVOKOP extension 1 2 3
302,15,SAMCOR PARK
303,15,SAMCOR PARK extension 1 2
304,15,SAULSVILLE
305,13,SAVANNAH COUNTRY ESTATE extension 1 2 3 4 5
306,10,SCHOEMANSVILLE
307,10,SCHOEMANSVILLE extension 10 2 7 8 9
308,2,SILVER LAKES
309,2,SILVER LAKES extension 1 2 3 4
310,2,SILVER VIEW RIDGE
311,2,SILVER WELL
